target,text
ham,I'll text you when I drop x off
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx
spam,network operator. The service is free. For T & C's visit 80488.biz
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
ham,How much for an eighth?
spam,"You can stop further club tones by replying \STOP MIX\"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL"
ham,Good morning princess! How are you?
ham,Kay... Since we are out already 
ham,Its a part of checking IQ
ham,I'm at home. Please call
ham,i dnt wnt to tlk wid u
spam,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X"
ham,Do u knw dis no. &lt;#&gt; ?
ham,"Cool, I'll text you in a few"
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
ham,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free
ham,I've reached sch already...
ham,You call him now ok i said call him
ham,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you."
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,i cant talk to you now.i will call when i can.dont keep calling.
spam,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
ham,So lets make it saturday or monday as per convenience.
ham,Then why you came to hostel.
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,But i dint slept in afternoon.
ham,Wah lucky man... Then can save money... Hee...
ham,Oh ho. Is this the first time u use these type of words
ham,Unlimited texts. Limited minutes.
ham,", how's things? Just a quick question."
ham,Thats cool princess! I will cover your face in hot sticky cum :)
ham,Surely result will offer:)
ham,I just lov this line: \Hurt me with the truth
ham,"Sorry, I'll call later in meeting."
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency
ham,Was playng 9 doors game and gt racing on phone lol
ham,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
ham,I asked you to call him now ok
ham,I cant pick the phone right now. Pls send a message
ham,Dunno lei he neva say...
ham,Hi! This is Roger from CL. How are you?
ham,Oh k. . I will come tomorrow
ham,TELL HER I SAID EAT SHIT.
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
ham,I accidentally deleted the message. Resend please.
ham,Mm i am on the way to railway
ham,Nvm take ur time.
ham,Who's there say hi to our drugdealer
ham,I'm job profile seems like bpo..
ham,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it."
ham,Total video converter free download type this in google search:)
ham,Are u coming to the funeral home
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
ham,"I just got home babe, are you still awake ?"
ham,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand."
spam,3. You have received your mobile content. Enjoy
spam,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text"
ham,"Playin space poker, u?"
ham,"Sorry, I'll call you  later. I am in meeting sir."
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
ham,hanks lotsly!
ham,K tell me anything about you.
ham,K come to nordstrom when you're done
spam,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA
ham,Eatin my lunch...
ham,So how's the weather over there?
ham,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
ham,Please dont say like that. Hi hi hi
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,"Yes..but they said its IT.,"
ham,I can send you a pic if you like :)
ham,Ok no prob... I'll come after lunch then...
ham,I forgot 2 ask Ì_ all smth.. There's a card on da present lei... How? ÌÏ all want 2 write smth or sign on it?
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx"
ham,Tmr then Ì_ brin lar... Aiya later i come n c lar... Mayb Ì_ neva set properly Ì_ got da help sheet wif Ì_...
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,Pandy joined 4w technologies today.he got job..
ham,What's your room number again? Wanna make sure I'm knocking on the right door
ham,ÌÏ give me some time to walk there.
ham,Company is very good.environment is terrific and food is really nice:)
ham,You can jot down things you want to remember later.
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
ham,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM"
ham,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat..."
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5"
ham,"Oh fine, I'll be by tonight"
ham,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...
ham,So what about you. What do you remember
ham,In which place i can get rooms cheap:-)
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,My sister going to earn more than me da.
ham,at bruce b downs &amp; fletcher now
ham,I can make lasagna for you... vodka...
ham,Oh is it? Send me the address
spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,You didnt complete your gist oh.
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or å£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
ham,Alright took the morphine. Back in yo.
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
ham,New car and house for my parents.:)i have only new job in hand:)
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,Then any special there?
ham,Ok.. ÌÏ finishing soon?
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?
ham,"Sorry, I'll call later"
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
ham,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870."
spam,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!"
ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
ham,And several to you sir.
ham,Why do you ask princess?
ham,Am slow in using biola's fne
spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
ham,Do you know when dad will be back?
ham,I am in office:)whats the matter..msg me now.i will call you at break:).
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Still work going on:)it is very small house.
ham,"How long has it been since you screamed, princess?"
ham,Dear how is chechi. Did you talk to her
ham,Holy living christ what is taking you so long
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
ham,Old Orchard near univ. How about you?
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,Ok... Then r we meeting later?
ham,Pls speak to that customer machan.
ham,Can do lor...
ham,Just finished. Missing you plenty
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
ham,S da..al r above  &lt;#&gt;
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
ham,"Ok, be careful ! Don't text and drive !"
ham,Thanks for picking up the trash.
ham,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
ham,Have you always been saying welp?
ham,I am on the way to ur home
ham,This weekend is fine (an excuse not to do too much decorating)
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
ham,I'm in class. Did you get my text.
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
ham,I'm leaving my house now...
ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
ham,Send to someone else :-)
ham,Tell me pa. How is pain de.
ham,Yes just finished watching days of our lives. I love it.
ham,Remember to ask alex about his pizza
ham,WOT U WANNA DO THEN MISSY?
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham,So Ì_ pay first lar... Then when is da stock comin...
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
ham,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
ham,ÌÏ ready then call me...
ham,\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtåÓbraindanceåÓa comp.ofstuff on aphexåÕs ;abel
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,I've got it down to a tea. not sure which flavour
ham,2 and half years i missed your friendship:-)
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + å£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com
ham,Tell rob to mack his gf in the theater
ham,"Ok omw now, you at castor?"
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
ham,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
ham,Well welp is sort of a semiobscure internet thing
ham,Good. Good job. I like entrepreneurs
